CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
48683.5,134635.75,146548.25,3121.13,22977.38,6191.88,1982,2105.63,3365,3414.38,4340,4382.5,340293.88,343415,392098.5
73673.88,139054,139084.75,3264.75,20421,5959.38,1705.63,1763.63,2800,2932,4040.25,4000.75,331495.38,334760.13,408434
55498.75,115095.88,120552.88,3852.38,21597.25,5884.5,1495.25,1648.63,2735.63,2828.88,3913.38,3967.88,288897.13,292749.5,348248.25
63865.5,162709.75,175167.38,4743.75,26905.63,6475.75,2101,2234.25,3011.63,3158.75,4646.88,4592.88,402460.5,407204.25,471069.75
60882.38,132047,139019.88,3911.63,21154.38,5764.13,1412.88,1569,2907,2992.13,3810.25,3867.75,324123.25,328034.88,388917.25
60867.13,134459.38,134568.75,5391.25,22034.88,5729.75,1585.5,1631.75,2635.88,2722,3985.13,3966.38,322559.88,327951.13,388818.25
71722.13,135162.5,136147.88,2510.25,23021.75,6257.38,1296.13,1325,2912.63,2913.63,4463.88,4397,327484.13,329994.38,401716.5
64362.25,121816.88,126271.75,5346.25,23699,6025.75,1609.63,1673,2770.75,2808.88,4051.5,4027.63,303777,309123.25,373485.5
74381.5,161813.13,160030.5,6010.38,24822.25,6730.13,1814.88,2043.38,2933.63,3067.25,4707.13,4717.88,383962.75,389973.13,464354.63
78657.25,164078.13,171465.88,5492.25,25699.63,6577.88,1730.63,1868.25,3441.25,3574.13,4459.75,4503.75,397603.38,403095.63,481752.88
79268.5,145037.63,158900.75,5337.38,22563.5,6418.38,1761.75,1872.38,3126.63,3165.88,4654.5,4715.13,362637.75,367975.13,447243.63
72765.5,141576,141603,5208.88,21629.13,6156.75,1774.25,1874.88,3024.63,3025.25,4133.5,4121.25,339086.25,344295.13,417060.63
85459.75,137113.88,133541.75,6517.25,21816.88,5759.25,1713.63,1843.25,3208.13,3321.13,3801,3787.25,324980.88,331498.13,416957.88
78076.75,160508.88,156580.63,5954.13,27642.63,6870,1800.5,1953.25,3299.88,3217.75,4388.5,4373.75,380919.25,386873.38,464950.13
60300.13,118336.88,126773.5,4278.5,20081.25,5600.25,1532.25,1712.75,2913.13,2804.5,3694.88,3733.5,296312.13,300590.63,360890.75
54553,128906.5,152382.88,3755.13,23287.13,6543.63,1987.38,2229.13,2947.75,3387.25,4313.88,4038.63,340885.75,344640.88,399193.88
49909.13,128544.13,126662.88,3052.13,22197.38,5711.75,1474.63,1434.63,2246.5,2493.13,4272.38,4210.88,308913.63,311965.75,361874.88
57022.13,140641,153533.38,2790.75,23106.75,6339.75,1482,1546.63,2164.75,2183.88,4538.63,4581,350215,353005.75,410027.88
99302.75,142845,137205.5,4140.13,22786,6344.38,1537.25,1558.25,3215.5,3190.13,4372.25,4432.88,337517.38,341657.5,440960.25
79128.88,140041.5,136197.88,4406.5,20280.13,5929.5,1452.25,1592.5,2653.13,2753.25,4077,3946.75,328162.5,332569,411697.88
71222.63,135282,118067.38,6393,22145.75,5717,1774.5,1759.5,2809.75,2756.88,3957.5,3984.38,308055,314448,385670.63
52556,128466.63,136169,4807.5,22675,6126.63,1597.38,1699.13,2898.63,2890.88,4005.25,4015.75,319987.5,324795,377351
59741.38,149813.13,163918.38,5187.75,26263.75,6797.38,1908.25,1889.5,3545,3485.5,4551.88,4686.63,377724.13,382911.88,442653.25
63979.5,125989.75,122677.13,3264.13,20168.5,5451.5,1171.25,1234.75,2172.38,2171.25,3993.5,3908.88,297996.75,301260.88,365240.38
86434.88,186377.63,196204.25,5225.5,27711.25,7494,1957,2025,3342.13,3623.38,5050.25,4968.5,451007.75,456233.25,542668.13
76806.75,146117.75,140409.88,5029,24886.75,6099.13,1777.88,1828.63,2936.75,2948.38,4319.5,4342.75,345897.88,350926.88,427733.63
71012.75,133300.25,130090.25,4357.25,22409.5,6022.75,1556.25,1628.25,2959.38,2974.13,4120.5,4010.88,318331.38,322688.63,393701.38
55691.88,143802.63,162924.38,3228.13,21649.75,6368.5,2475.5,2318,3231,3534.75,4605.63,4407,365888.5,369116.63,424808.5
70092.25,139183.5,142599.88,3904.5,22182.5,6245.75,1503.25,1661.75,2867.88,2937.13,4371.63,4390.63,337571.5,341476,411568.25
72475.25,142047.5,136713.25,4496.63,23931.5,6349.13,1595,1668.5,2758.13,2748.5,4082.38,4153.5,336112.25,340608.88,413084.13
59094.38,150417.5,160899.25,4360.13,23569.88,6666.13,1997.13,2029.5,3726.25,3917,4486.5,4582.25,373614.25,377974.38,437068.75
44054.38,139422.63,146808.88,3188.13,22585,6594.75,1921.25,2026.25,3024.5,2965.88,4472,4652.75,344946.75,348134.88,392189.25
55227.5,151578,165666.5,3835,23293.25,6102.38,1728.13,1768.38,3476.75,3437.25,4526.5,4682.63,376584.88,380419.88,435647.38
78181.38,171407.63,193316.63,5330.38,24478,7024.13,2020.63,2121.5,3606.88,3640.75,5365.88,5137.63,428983.25,434313.63,512495
74541,155753.63,164670.5,5533.13,25345.5,7256.75,1836.75,1952.13,3279.5,3289.5,5016.13,5081.88,384460.25,389993.38,464534.38
62256.38,133757.25,142085.25,3953.5,20725.13,5634.25,1626,1680.38,3018.13,3149.63,4029.38,4033.5,329346.75,333300.25,395556.63
61516.25,132305.38,137587.38,5612.25,23037,6358.13,1527.75,1622.63,2907,3020,4355.13,4445.88,326398.13,332010.38,393526.63
46699,130403.25,146941.63,3088,21104.63,6162.5,1775.38,1886.38,2830.25,2773.75,4031.5,4123.13,331764,334852,381551
60890.13,138332.75,152676.38,4535.38,22577,6846.38,1981.25,2148.63,3341.88,3294,4449.25,4381.25,350423.38,354958.75,415848.88
70142.75,134876.88,139722.75,5974.25,25363.25,6715,1780.63,1867.13,3072.88,2902.5,4080.63,4285.38,334626.75,340601,410743.75
