CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
79717,157802,156153,4885,26963,6234,1421,1506,2935,2928,4219,4380,375224,380109,459826
94339,151221,142313,5729,26455,6388,1905,1936,3259,3350,4837,4924,357437,363166,457505
80765,145195,137854,3584,22078,5826,1600,1702,3120,3114,4373,4598,339327,342911,423676
69346,128082,114333,6253,27212,6251,1610,1593,2893,3019,3725,3776,301216,307469,376815
83739,154092,150391,8389,29965,6367,1857,1798,3109,3049,4848,4997,370580,378969,462708
61683,164278,152026,3710,28255,7169,2540,2496,3270,3395,5370,5360,385630,389340,451023
94375,151261,147863,4765,28299,7021,1898,1925,3334,3506,5085,4935,366500,371265,465640
71410,182864,166811,6402,27517,6340,1851,1936,3225,3028,4832,5005,414342,420744,492154
86895,152343,144420,7797,27518,6347,1801,1793,3234,3280,4343,4472,359237,367034,453929
75877,159373,136288,4492,24188,6017,1801,1835,3026,3154,4623,4571,355077,359569,435446
83300,161337,151977,7081,23832,6300,2009,2100,3582,3474,4734,4787,374950,382031,465331
65806,136081,123154,3553,24460,5564,1440,1454,2723,2892,3993,3929,314770,318323,384129
131452,186470,148565,6439,28866,6793,2091,2059,3264,3450,5185,4893,402946,409385,540837
80193,167205,160777,6890,30672,6720,1668,1878,3594,3322,4716,5019,395734,402624,482817
71006,149228,138281,3105,25745,6329,1591,1434,2676,2621,4744,4951,348002,351107,422113
70334,157327,143730,3515,27353,6128,1668,1745,3158,3183,4660,4699,363814,367329,437663
70158,147460,136538,4451,24688,6454,1651,1615,3022,3065,4408,4466,343796,348247,418405
77886,167598,167385,6432,30291,6799,1723,1722,2970,3138,4548,4617,400864,407296,485182
115119,166656,148125,6052,26769,6293,1756,1792,3186,3187,4553,4520,376895,382947,498066
85998,165233,154830,8373,26369,6534,2023,1881,3254,3225,4496,4720,382821,391194,477192
89883,167374,152246,5318,32337,7036,1922,2092,3597,3441,4777,4843,390689,396007,485890
93844,171567,145961,6775,28088,6643,1920,2125,3719,3601,4415,4662,383746,390521,484365
78810,171991,158080,3679,29940,6899,1915,2001,3470,3366,5073,5343,399471,403150,481960
98437,164401,156068,5182,27678,6945,1709,1802,3249,3292,4796,4763,385703,390885,489322
91149,189368,175165,4911,32046,6765,2344,2394,3935,4147,4707,4720,437040,441951,533100
103793,178123,151228,7009,28316,6604,1865,1984,3710,3580,4610,4879,395862,402871,506664
106321,199942,157898,6788,32766,7546,1886,2055,3669,3429,5104,5257,431184,437972,544293
82225,164005,140626,4865,27844,6672,1841,1839,3494,3536,5037,4935,370390,375255,457480
70159,145684,124202,4849,26119,6108,1623,1608,2994,2953,4136,4259,329559,334408,404567
113211,177743,147462,6678,29959,7024,1907,1993,3401,3385,4759,4829,393734,400412,513623
100251,178901,163376,5546,32278,7212,2063,2106,3620,3507,4939,4957,415213,420759,521010
108309,171353,152605,5802,29901,6637,2101,2189,4117,3972,4687,4744,393496,399298,507607
88872,161309,139862,4615,27988,6862,1670,1868,3452,3191,4519,4639,365462,370077,458949
